name ,Hrs of samples ,CO2_ppm,
Control_A,21:15:00,678,
Control_B,21:15:00,1172,
Control_C,21:15:00,874,
Control_D,21:15:00,415,
pH 6_A,21:15:00,2550,
pH 6_B,21:15:00,2374,
pH 6_C,21:15:00,1573,
pH 6_D,21:15:00,628,
pH 7.4_A,21:15:00,649,
pH 7.4_B,21:15:00,702,
pH 7.4_C,21:15:00,637,
pH 7.4_D,21:15:00,440,
15C_A,21:15:00,679,
15C_B,21:15:00,660,
15C_C,21:15:00,869,
15C_D,21:15:00,406,
30C_A,21:15:00,1511,
30C_B,21:15:00,1498,
30C_C,21:15:00,1427,
30C_D,21:15:00,385,
High Iron_A,21:15:00,2046,
High Iron_B,21:15:00,1867,
High Iron_C,21:15:00,1848,
High Iron_D,21:15:00,368,
Stagnant_A,21:15:00,895,
Stagnant_B,21:15:00,830,
Stagnant_C,21:15:00,841,
Stagnant_D,21:15:00,332,
No Vit.Min._A,21:15:00,1253,
No Vit.Min._B,21:15:00,1561,
No Vit.Min._C,21:15:00,1081,
No Vit.Min._D,21:15:00,516,
Control_A,46:33:00,815,
Control_B,46:33:00,1251,
Control_C,46:33:00,1065,
Control_D,46:33:00,426,
pH 6_A,46:33:00,2958,
pH 6_B,46:33:00,2802,
pH 6_C,46:33:00,2878,
pH 6_D,46:33:00,754,
pH 7.4_A,46:33:00,866,
pH 7.4_B,46:33:00,999,
pH 7.4_C,46:33:00,776,
pH 7.4_D,46:33:00,417,
15C_A,46:33:00,570,
15C_B,46:33:00,1102,
15C_C,46:33:00,1563,
15C_D,46:33:00,441,
30C_A,46:33:00,1928,
30C_B,46:33:00,2026,
30C_C,46:33:00,1721,
30C_D,46:33:00,401,
High Iron_A,46:33:00,2423,
High Iron_B,46:33:00,2489,
High Iron_C,46:33:00,1930,
High Iron_D,46:33:00,395,
Stagnant_A,46:33:00,1334,
Stagnant_B,46:33:00,1493,
Stagnant_C,46:33:00,1352,
Stagnant_D,46:33:00,712,
No Vit.Min._A,46:33:00,1369,
No Vit.Min._B,46:33:00,1829,
No Vit.Min._C,46:33:00,1691,
No Vit.Min._D,46:33:00,572,
Control_A,68:03:00,769,
Control_B,68:03:00,1066,
Control_C,68:03:00,966,
Control_D,68:03:00,365,
pH 6_A,68:03:00,3270,
pH 6_B,68:03:00,2695,
pH 6_C,68:03:00,3202,
pH 6_D,68:03:00,788,
pH 7.4_A,68:03:00,1049,
pH 7.4_B,68:03:00,1141,
pH 7.4_C,68:03:00,889,
pH 7.4_D,68:03:00,422,
15C_A,68:03:00,558,
15C_B,68:03:00,821,
15C_C,68:03:00,1624,
15C_D,68:03:00,402,
30C_A,68:03:00,1712,
30C_B,68:03:00,1826,
30C_C,68:03:00,1503,
30C_D,68:03:00,393,
High Iron_A,68:03:00,2427,
High Iron_B,68:03:00,2465,
High Iron_C,68:03:00,2182,
High Iron_D,68:03:00,489,
Stagnant_A,68:03:00,1302,
Stagnant_B,68:03:00,1076,
Stagnant_C,68:03:00,1125,
Stagnant_D,68:03:00,360,
No Vit.Min._A,68:03:00,1360,
No Vit.Min._B,68:03:00,1894,
No Vit.Min._C,68:03:00,1220,
No Vit.Min._D,68:03:00,505,
Control_A,94:27:00,624,
Control_B,94:27:00,1324,
Control_C,94:27:00,891,
Control_D,94:27:00,350,
pH 6_A,94:27:00,2058,
pH 6_B,94:27:00,1487,
pH 6_C,94:27:00,2138,
pH 6_D,94:27:00,595,
pH 7.4_A,94:27:00,852,
pH 7.4_B,94:27:00,1158,
pH 7.4_C,94:27:00,813,
pH 7.4_D,94:27:00,313,
15C_A,94:27:00,4243,
15C_B,94:27:00,1351,
15C_C,94:27:00,1601,
15C_D,94:27:00,482,
30C_A,94:27:00,1825,
30C_B,94:27:00,1813,
30C_C,94:27:00,1855,
30C_D,94:27:00,371,
High Iron_A,94:27:00,2167,
High Iron_B,94:27:00,2141,
High Iron_C,94:27:00,2081,
High Iron_D,94:27:00,396,
Stagnant_A,94:27:00,1406,
Stagnant_B,94:27:00,1072,
Stagnant_C,94:27:00,1053,
Stagnant_D,94:27:00,500,
No Vit.Min._A,94:27:00,1235,
No Vit.Min._B,94:27:00,1745,
No Vit.Min._C,94:27:00,1195,
No Vit.Min._D,94:27:00,583,
Control_A,115:10:00,805,
Control_B,115:10:00,1569,
Control_C,115:10:00,932,
Control_D,115:10:00,368,
pH 6_A,115:10:00,1763,
pH 6_B,115:10:00,1752,
pH 6_C,115:10:00,2874,
pH 6_D,115:10:00,603,
pH 7.4_A,115:10:00,991,
pH 7.4_B,115:10:00,969,
pH 7.4_C,115:10:00,866,
pH 7.4_D,115:10:00,349,
15C_A,115:10:00,3571,
15C_B,115:10:00,1268,
15C_C,115:10:00,1821,
15C_D,115:10:00,382,
30C_A,115:10:00,1489,
30C_B,115:10:00,1939,
30C_C,115:10:00,1803,
30C_D,115:10:00,352,
High Iron_A,115:10:00,2204,
High Iron_B,115:10:00,2226,
High Iron_C,115:10:00,2161,
High Iron_D,115:10:00,441,
Stagnant_A,115:10:00,1144,
Stagnant_B,115:10:00,943,
Stagnant_C,115:10:00,955,
Stagnant_D,115:10:00,302,
No Vit.Min._A,115:10:00,1230,
No Vit.Min._B,115:10:00,1704,
No Vit.Min._C,115:10:00,1351,
No Vit.Min._D,115:10:00,442,
Control_A,139:10:00,904,
Control_B,139:10:00,1528,
Control_C,139:10:00,941,
Control_D,139:10:00,352,
pH 6_A,139:10:00,1546,
pH 6_B,139:10:00,1493,
pH 6_C,139:10:00,2514,
pH 6_D,139:10:00,492,
pH 7.4_A,139:10:00,952,
pH 7.4_B,139:10:00,959,
pH 7.4_C,139:10:00,973,
pH 7.4_D,139:10:00,370,
15C_A,139:10:00,3320,
15C_B,139:10:00,1373,
15C_C,139:10:00,1935,
15C_D,139:10:00,515,
30C_A,139:10:00,1672,
30C_B,139:10:00,1826,
30C_C,139:10:00,1581,
30C_D,139:10:00,400,
High Iron_A,139:10:00,2002,
High Iron_B,139:10:00,2075,
High Iron_C,139:10:00,1892,
High Iron_D,139:10:00,448,
Stagnant_A,139:10:00,1341,
Stagnant_B,139:10:00,722,
Stagnant_C,139:10:00,890,
Stagnant_D,139:10:00,271,
No Vit.Min._A,139:10:00,1299,
No Vit.Min._B,139:10:00,1531,
No Vit.Min._C,139:10:00,1036,
No Vit.Min._D,139:10:00,432,
Control_A,163:10:00,1347,
Control_B,163:10:00,3200,
Control_C,163:10:00,1033,
Control_D,163:10:00,463,
pH 6_A,163:10:00,1110,
pH 6_B,163:10:00,1127,
pH 6_C,163:10:00,1289,
pH 6_D,163:10:00,449,
pH 7.4_A,163:10:00,796,
pH 7.4_B,163:10:00,831,
pH 7.4_C,163:10:00,788,
pH 7.4_D,163:10:00,327,
15C_A,163:10:00,2549,
15C_B,163:10:00,1117,
15C_C,163:10:00,678,
15C_D,163:10:00,879,
30C_A,163:10:00,6098,
30C_B,163:10:00,2247,
30C_C,163:10:00,2206,
30C_D,163:10:00,384,
High Iron_A,163:10:00,2104,
High Iron_B,163:10:00,2282,
High Iron_C,163:10:00,1769,
High Iron_D,163:10:00,788,
Stagnant_A,163:10:00,862,
Stagnant_B,163:10:00,667,
Stagnant_C,163:10:00,735,
Stagnant_D,163:10:00,286,
No Vit.Min._A,163:10:00,949,
No Vit.Min._B,163:10:00,1300,
No Vit.Min._C,163:10:00,966,
No Vit.Min._D,163:10:00,517,
